INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
10/10/17 22:45,2017-127384,63,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2123 LABETTE MANOR DR,LITTLE ROCK,AR,72205,34.73339,-92.375578,"(34.73339, -92.375578)"
5/4/17 18:59,2017-051369,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,5105 W 29TH ST,LITTLE ROCK,AR,72204,34.725565,-92.331018,"(34.725565, -92.331018)"
9/24/20 22:46,2020-111372,41,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,2015 S LOUISIANA ST B,LITTLE ROCK,AR,72206,34.729161,-92.274724,"(34.729161, -92.274724)"
5/1/20 18:08,2020-046966,64,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1 KARON CT,LITTLE ROCK,AR,72205,34.736283,-92.378258,"(34.736283, -92.378258)"
2/8/17 17:00,2017-015137,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,4512 W 25TH ST,LITTLE ROCK,AR,72204,34.728929,-92.324501,"(34.728929, -92.324501)"
3/27/18 15:15,2018-036146,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,2100 S TYLER ST,LITTLE ROCK,AR,72204,34.732815,-92.33371,"(34.732815, -92.33371)"
4/6/21 22:00,2021-036184,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,6310  COLONEL GLENN RD,LITTLE ROCK,AR,72204,34.718758,-92.345399,"(34.718758, -92.345399)"
6/14/21 18:39,2021-068244,53,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3201 W ROOSEVELT RD,LITTLE ROCK,AR,72204,34.723478,-92.31017,"(34.723478, -92.31017)"
11/12/19 10:48,2019-141199,64,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2313 NICHOLS RD,LITTLE ROCK,AR,72205,34.732329,-92.386839,"(34.732329, -92.386839)"
7/8/19 10:42,2019-084771,53,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,BLUNT OBJECT,1501 S ELM ST,LITTLE ROCK,AR,72204,34.737676,-92.318904,"(34.737676, -92.318904)"
4/27/17 14:45,2017-047849,41,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1805 PARK LN,LITTLE ROCK,AR,72206,34.730873,-92.267294,"(34.730873, -92.267294)"
4/18/20 21:45,2020-042306,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2901 S MONROE ST,LITTLE ROCK,AR,72204,34.725326,-92.328379,"(34.725326, -92.328379)"
4/1/21 15:18,2021-033744,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3710  BOYD ST,LITTLE ROCK,AR,72204,34.71937,-92.370076,"(34.71937, -92.370076)"
5/28/21 21:21,2021-059956,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,RIFLE,2400  MARSHALL ST,LITTLE ROCK,AR,72206,34.726215,-92.291991,"(34.726215, -92.291991)"
2/24/19 23:38,2019-024112,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,4123 ASHER AVE,LITTLE ROCK,AR,72204,34.724783,-92.320903,"(34.724783, -92.320903)"
6/13/19 14:00,2019-072596,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4616 PRINCETON DR,LITTLE ROCK,AR,72204,34.736326,-92.325895,"(34.736326, -92.325895)"
9/3/21 23:33,2021-107832,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,RIFLE,3212  LEEDS ST,LITTLE ROCK,AR,72204,34.722046,-92.329309,"(34.722046, -92.329309)"
3/19/17 23:02,2017-030586,62,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,6420 COLONEL GLENN RD,LITTLE ROCK,AR,72204,34.718123,-92.348512,"(34.718123, -92.348512)"
12/27/20 13:07,2020-149037,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,8425 LABETTE DR,LITTLE ROCK,AR,72204,34.736054,-92.369063,"(34.736054, -92.369063)"
1/25/20 1:30,2020-009835,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3112 S RINGO ST,LITTLE ROCK,AR,72206,34.717814,-92.287201,"(34.717814, -92.287201)"
3/12/19 18:31,2019-030796,43,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,2921 SPRINGER BLVD,LITTLE ROCK,AR,72206,34.720206,-92.258657,"(34.720206, -92.258657)"
8/29/19 16:30,2019-108681,62,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3412 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,34.720898,-92.342538,"(34.720898, -92.342538)"
6/15/20 23:22,2020-065550,64,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1600 JOHN BARROW RD,LITTLE ROCK,AR,72204,34.720913,-92.380237,"(34.720913, -92.380237)"
9/21/21 11:37,2021-115812,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1222 W 33RD ST,LITTLE ROCK,AR,72206,34.716774,-92.28922,"(34.716774, -92.28922)"
3/10/20 12:55,2020-027966,53,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,OTHER,1919 BROWN ST,LITTLE ROCK,AR,72204,34.733161,-92.310294,"(34.733161, -92.310294)"
7/5/19 22:50,2019-083790,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,4201 W 13TH ST,LITTLE ROCK,AR,72204,34.739448,-92.320371,"(34.739448, -92.320371)"
