X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.163068379,42.3661047510001,3658806,2108010163,Birwood St & W Chicago St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/01 21:15:00+00,17:15:00,7,17,2021,0208,02,261635344002023,Barton-McFarland,7,48204,-83.1630683785197,42.3661047507521,90342
-82.951443962,42.41866407,3659254,2108030009,Roxbury St & Yorkshire Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/03 08:26:00+00,04:26:00,2,4,2021,0907,09,261635010001003,Yorkshire Woods,4,48224,-82.9514439618222,42.4186640700394,90428
-83.1370923599999,42.3418855560001,3659969,2108040204,Braden St & Kirkwood St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/04 23:10:00+00,19:10:00,3,19,2021,0402,04,261635263002006,Claytown,6,48210,-83.1370923595174,42.3418855556268,90532
-83.25071503,42.407639741,3660932,2108070067,Puritan St & Westbrook St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/07 12:30:00+00,08:30:00,6,8,2021,0810,08,261635432002014,Miller Grove,1,48219,-83.2507150302864,42.407639740651,90692
-83.0420155479999,42.331847469,3663350,2108140037,Brush St & E Congress St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/14 09:52:00+00,05:52:00,6,5,2021,0312,03,261635172001056,Downtown,5,48226,-83.0420155482363,42.3318474690031,91103
-83.135511353,42.3281244500001,3664024,2108160041,Saint Stephens St & Central St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/16 12:01:00+00,08:01:00,1,8,2021,0405,04,261635257002005,Claytown,6,48210,-83.1355113527059,42.3281244503779,91196
-82.965759615,42.442685112,3665666,2108200233,E State Fair St & Hayes St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/20 23:34:00+00,19:34:00,5,19,2021,0902,09,261635003004000,Regent Park,3,48205,-82.9657596145949,42.4426851123858,91455
-83.156022907,42.4457788170001,3666413,2108220326,8 Mile Rd & Cherrylawn St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/23 06:45:00+00,02:45:00,1,2,2021,1203,12,261635390003003,Garden Homes,2,48221,-83.1560229073034,42.4457788174737,91567
-83.192192623,42.374898349,3669570,2108300321,Wadsworth St & Robson St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/08/31 01:00:00+00,21:00:00,1,21,2021,0204,02,261635353005005,Plymouth-Hubbell,7,48227,-83.1921926227817,42.3748983491848,92020
-83.256473871,42.38661863,3670588,2109020061,W Outer Dr & Jason St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/02 12:40:00+00,08:40:00,4,8,2021,0602,06,261635438001009,Brightmoor,1,48223,-83.2564738714517,42.3866186302289,92161
-83.0615497589999,42.444025987,3671738,2109050012,Sunset St & Amrad St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/05 08:24:00+00,04:24:00,7,4,2021,1103,11,261635068003019,Farwell,3,48234,-83.0615497588664,42.4440259869606,92304
-83.121322413,42.313879151,3671753,2109050051,W Vernor Hwy & N Green St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/05 10:52:00+00,06:52:00,7,6,2021,0407,04,261635240003000,Springwells,6,48209,-83.1213224127299,42.3138791506916,92308
-83.0671936259999,42.4077407190001,3674742,2109120312,Maine St & Halleck St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/13 05:46:00+00,01:46:00,1,1,2021,1110,11,261635105003025,Campau/Banglatown,3,48212,-83.0671936264479,42.4077407186387,92712
-83.174938874,42.41663213,3675356,2109140212,Ward St & W McNichols Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/14 21:31:00+00,17:31:00,2,17,2021,1207,12,261635395001021,Schulze,2,48235,-83.1749388738761,42.4166321296365,92807
-83.136792035,42.356592479,3679797,2109260092,Military & Linsdale St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/26 16:42:00+00,12:42:00,7,12,2021,1006,10,261635337001014,Midwest,6,48204,-83.1367920345437,42.3565924785243,93416
-82.994395907,42.4128071280001,3679823,2109260127,Bradford St & Saint Patrick St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/09/26 06:00:00+00,02:00:00,7,2,2021,0909,09,261635054004011,Gratiot-Findlay,4,48205,-82.9943959070443,42.4128071276166,93426
-83.009502109,42.4324994620001,3683850,2110060315,Eastwood St & Beland St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/10/07 01:10:00+00,21:10:00,3,21,2021,0904,09,261635049001004,Mount Olivet,3,48234,-83.0095021094106,42.4324994617491,93990
-83.176972577,42.431156899,3685164,2110100025,Littlefield St & W 7 Mile Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/10/10 08:55:00+00,04:55:00,7,4,2021,1202,12,261635393003024,Greenwich,2,48235,-83.176972577027,42.4311568994192,94224
-83.2165396299999,42.343368393,3688555,2110180364,W Warren Ave & S M 39 Service Drive,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/10/19 04:41:00+00,00:41:00,2,0,2021,0612,06,261635458005002,Warrendale,7,48228,-83.2165396299326,42.343368392502,94714
