X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.2219607,42.42703979,3634904,2105270233,Rosemont Ave & Margareta St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/27 22:25:00+00,18:25:00,4,18,2021,807,8,2.62E+14,Evergreen-Outer Drive,2,48219,-83.2219607,42.42703979,192004
-83.18591429,42.35601307,3634255,2105250396,Mackenzie St & Strathmoor St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/26 07:23:00+00,3:23:00,3,3,2021,207,2,2.62E+14,Joy-Schaefer,7,48228,-83.18591429,42.35601307,401902
-83.09687029,42.38858089,3633753,2105240367,Hamilton Ave & Burlingame St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/25 03:50:00+00,23:50:00,1,23,2021,1005,10,2.62E+14,Gateway Community,5,48202,-83.09687029,42.38858089,86468
-83.14400541,42.35354616,3633345,2105240021,American St & Garden St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/24 08:57:00+00,4:57:00,1,4,2021,210,2,2.62E+14,Midwest,6,48204,-83.14400541,42.35354615,86397
-83.1955368,42.38384055,3632927,2105220266,Tyler St & Whitcomb St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/23 03:10:00+00,23:10:00,6,23,2021,204,2,2.62E+14,Schoolcraft Southfield,1,48227,-83.1955368,42.38384055,191711
-83.0414477,42.33629983,3632224,2105210013,Macomb St & Saint Antoine St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/21 08:03:00+00,4:03:00,5,4,2021,312,3,2.62E+14,Downtown,5,48226,-83.0414477,42.33629983,401602
-82.95885228,42.39545623,3631717,2105190427,Chalmers St & E Warren Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/20 06:57:00+00,2:57:00,4,2,2021,503,5,2.62E+14,Chandler Park-Chalmers,4,48213,-82.95885228,42.39545623,401515
-83.06095535,42.43318544,3631637,2105190286,E 7 Mile Rd & Sunset St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/20 00:15:00+00,20:15:00,3,20,2021,1108,11,2.62E+14,Krainz Woods,3,48234,-83.06095535,42.43318544,191524
-83.07945877,42.44026813,3631496,2105190233,E Outer Dr & Fleming St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/19 20:49:00+00,16:49:00,3,16,2021,1102,11,2.62E+14,Nolan,3,48234,-83.07945877,42.44026813,401488
-83.18704053,42.41157575,3630473,2105160300,Mark Twain St & Florence St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/17 05:20:00+00,1:20:00,1,1,2021,201,2,2.62E+14,Hubbell-Puritan,1,48235,-83.18704053,42.41157575,86016
-83.17370703,42.40217282,3629794,2105140390,Ward St & Fenkell St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/15 05:48:00+00,1:48:00,6,1,2021,1210,12,2.62E+14,Bethune Community,2,48227,-83.17370703,42.40217282,297297
-83.2308498,42.42664325,3629753,2105140342,Margareta St & Shaftsbury Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/15 03:24:00+00,23:24:00,5,23,2021,807,8,2.62E+14,Evergreen-Outer Drive,1,48219,-83.2308498,42.42664325,401262
-83.1938314,42.40167282,3628945,2105130015,Coyle St & Fenkell St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/13 08:20:00+00,4:20:00,4,4,2021,202,2,2.62E+14,Hubbell-Lyndon,1,48227,-83.1938314,42.40167282,85807
-83.11969066,42.39492287,3628477,2105110374,La Salle Blvd & Clements St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/12 04:25:00+00,0:25:00,3,0,2021,1003,10,2.62E+14,Oakman Blvd Community,2,48238,-83.11969066,42.39492287,297092
-83.0889653,42.43993439,3628045,2105100414,E State Fair St & Hull St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/11 05:47:00+00,1:47:00,2,1,2021,1101,11,2.62E+14,Nolan,3,48203,-83.0889653,42.43993439,401044
-82.97164269,42.40531331,3627096,2105080008,Camden Ave & Coplin St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/08 08:29:00+00,4:29:00,6,4,2021,910,9,2.62E+14,Outer Drive-Hayes,4,48213,-82.97164269,42.40531331,400891
-83.14063417,42.41469906,3626149,2105050148,Grove St & Livernois Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/05 20:25:00+00,16:25:00,3,16,2021,1212,12,2.62E+14,Martin Park,2,48221,-83.14063417,42.41469906,85455
-83.15893035,42.38365696,3625724,2105040102,Wyoming St & W Buena Vista St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/04 13:02:00+00,9:02:00,2,9,2021,205,2,2.62E+14,Grand River-I96,7,48238,-83.15893034,42.38365696,85391
-82.98046754,42.44152127,3625323,2105030151,Tacoma St & Hoyt St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/03 19:10:00+00,15:10:00,1,15,2021,902,9,2.62E+14,Franklin,3,48205,-82.98046754,42.44152127,400646
-83.21332781,42.37450754,3625192,2105020317,Wadsworth St & Rutland St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/03 06:51:00+00,2:51:00,1,2,2021,605,6,2.62E+14,Plymouth-I96,7,48227,-83.21332781,42.37450754,296625
-82.98210954,42.37149689,3624445,2104300365,Charlevoix St & Harding St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/01 06:37:00+00,2:37:00,6,2,2021,508,5,2.62E+14,East Village,5,48214,-82.98210954,42.37149688,296506
-83.1269946,42.41738105,3623597,2104280395,Normandy St & W McNichols Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/29 05:38:00+00,1:38:00,4,1,2021,1212,12,2.62E+14,Martin Park,2,48221,-83.1269946,42.41738105,85109
-83.09532238,42.44679717,3623174,2104270413,8 Mile Rd & S I 75 Service Drive,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/28 06:59:00+00,2:59:00,3,2,2021,1101,11,2.62E+14,Nolan,3,48203,-83.09532238,42.44679717,85067
-83.13810517,42.33462169,3622305,2104250141,Proctor St & Panama St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/25 09:03:00+00,5:03:00,7,5,2021,402,4,2.62E+14,Claytown,6,48210,-83.13810517,42.33462169,190205
